order_id,order_date,product,category,region,quantity,unit_price
1000,2024-04-25,Tea,Grocery,East,7,348.27
1001,2024-05-26,Lipstick,Beauty,West,11,351.76
1002,2024-03-19,Cream,Beauty,West,7,250.65
1003,2024-04-28,Tea,Grocery,West,2,210.92
1004,2024-02-08,Running Shoes,Sports,North,11,84.17
1005,2024-04-19,Serum,Beauty,South,9,210.19
1006,2024-02-12,Olive Oil,Grocery,East,5,119.79
1007,2024-02-04,Blender,Home,North,5,54.72
1008,2024-05-17,Headphones,Electronics,South,8,55.64
1009,2024-04-13,Lamp,Home,North,9,321.46
1010,2024-03-08,Lamp,Home,East,8,369.35
1011,2024-01-08,Tea,Grocery,North,10,61.04
1012,2024-02-12,Olive Oil,Grocery,South,1,10.24
1013,2024-05-24,Monitor,Electronics,South,11,109.13
1014,2024-03-25,Dumbbell,Sports,West,6,58.1
1015,2024-06-21,Tea,Grocery,South,3,79.51
1016,2024-06-11,Laptop,Electronics,East,3,235.41
1017,2024-06-02,Lipstick,Beauty,West,5,171.81
1018,2024-01-03,Monitor,Electronics,North,4,174.55
1019,2024-01-10,Bottle,Sports,South,11,86.22
1020,2024-04-14,Olive Oil,Grocery,South,6,267.51
1021,2024-03-01,Blender,Home,West,11,119.36
1022,2024-05-31,Towel Set,Home,East,8,162.66
1023,2024-02-27,Blender,Home,East,5,188.05
1024,2024-01-28,Cream,Beauty,South,5,362.25
1025,2024-01-21,Towel Set,Home,West,11,102.31
1026,2024-02-24,Coffee,Grocery,North,8,288.87
1027,2024-04-22,Dumbbell,Sports,South,5,127.2
1028,2024-01-23,Yoga Mat,Sports,South,9,358.3
1029,2024-05-23,Dumbbell,Sports,North,5,160.66
1030,2024-02-24,Yoga Mat,Sports,North,3,204.54
1031,2024-02-26,Running Shoes,Sports,West,9,351.5
1032,2024-04-29,Yoga Mat,Sports,West,1,270.74
1033,2024-06-04,Tea,Grocery,North,6,42.27
1034,2024-03-19,Pasta,Grocery,North,5,59.05
1035,2024-05-23,Lipstick,Beauty,North,5,396.34
1036,2024-02-24,Lipstick,Beauty,North,3,16.5
1037,2024-01-24,Perfume,Beauty,West,5,123.84
1038,2024-05-29,Cushion,Home,North,2,383.76
1039,2024-05-18,Coffee,Grocery,East,5,10.97
1040,2024-05-15,Yoga Mat,Sports,West,9,68.75
1041,2024-06-07,Blender,Home,North,2,89.28
1042,2024-03-30,Pasta,Grocery,North,2,39.12
1043,2024-02-05,Keyboard,Electronics,South,1,191.42
1044,2024-04-15,Coffee,Grocery,West,10,239.01
1045,2024-04-13,Serum,Beauty,West,9,130.74
1046,2024-03-10,Monitor,Electronics,West,1,47.92
1047,2024-04-24,Monitor,Electronics,South,7,325.33
1048,2024-02-17,Bottle,Sports,East,6,322.77
1049,2024-04-19,Laptop,Electronics,East,8,227.03
1050,2024-05-22,Monitor,Electronics,South,5,59.41
1051,2024-01-18,Bottle,Sports,North,9,219.05
1052,2024-03-22,Tea,Grocery,South,6,253.66
1053,2024-04-29,Dumbbell,Sports,West,3,174.18
1054,2024-01-10,Olive Oil,Grocery,East,6,346.23
1055,2024-04-23,Olive Oil,Grocery,North,3,159.07
1056,2024-06-13,Coffee,Grocery,West,6,206.8
1057,2024-05-28,Perfume,Beauty,East,4,50.09
1058,2024-05-03,Running Shoes,Sports,South,5,227.6
1059,2024-05-24,Running Shoes,Sports,North,4,307.75
1060,2024-03-06,Towel Set,Home,East,6,293.85
1061,2024-02-28,Running Shoes,Sports,East,9,106.51
1062,2024-01-16,Towel Set,Home,North,8,396.79
1063,2024-05-09,Lamp,Home,West,5,289.37
1064,2024-02-26,Tea,Grocery,East,6,172.38
1065,2024-06-05,Monitor,Electronics,North,4,168.89
1066,2024-03-24,Headphones,Electronics,North,4,312.83
1067,2024-06-09,Monitor,Electronics,South,7,74.39
1068,2024-01-25,Coffee,Grocery,East,9,257.65
1069,2024-01-30,Cream,Beauty,West,3,288.94
1070,2024-03-03,Pasta,Grocery,West,3,208.95
1071,2024-01-05,Lamp,Home,East,2,349.91
1072,2024-03-29,Cream,Beauty,West,11,190.11
1073,2024-04-27,Cushion,Home,South,8,188.63
1074,2024-04-29,Yoga Mat,Sports,East,2,117.45
1075,2024-02-08,Monitor,Electronics,East,9,368.15
1076,2024-01-30,Serum,Beauty,South,4,129.93
1077,2024-04-11,Pasta,Grocery,South,4,279.63
1078,2024-04-23,Cream,Beauty,East,6,166.69
1079,2024-06-19,Laptop,Electronics,West,7,374.49
1080,2024-06-10,Bottle,Sports,West,8,379.44
1081,2024-03-09,Blender,Home,South,1,16.86
1082,2024-01-30,Olive Oil,Grocery,East,9,397.84
1083,2024-02-15,Coffee,Grocery,West,5,243.95
1084,2024-06-07,Laptop,Electronics,West,11,34.17
1085,2024-03-23,Yoga Mat,Sports,East,7,201.33
1086,2024-06-27,Olive Oil,Grocery,North,11,24.54
